Date,Open,High,Low,Close,Adj Close,Volume
"Jul 14, 2025","88,266.31","91,071.47","88,110.45","89,481.22","89,481.22","1,32,49,01,82,656"
"Jul 13, 2025","87,086.71","87,583.21","86,662.43","87,001.89","87,001.89","33,72,68,70,501"
"Jul 12, 2025","85,407.86","87,735.09","85,031.73","87,076.55","87,076.55","64,41,12,94,674"
"Jul 11, 2025","81,871.49","85,883.07","81,640.85","85,408.57","85,408.57","70,62,56,61,817"
"Jul 10, 2025","80,198.41","82,326.71","79,832.30","81,869.55","81,869.55","42,59,98,23,245"
"Jul 9, 2025","79,491.12","80,562.63","78,849.09","80,198.41","80,198.41","32,59,61,74,740"
"Jul 8, 2025","80,016.63","80,473.45","79,117.34","79,492.30","79,492.30","33,33,52,12,134"
"Jul 7, 2025","79,258.34","80,360.09","78,977.02","80,014.24","80,014.24","26,91,70,47,926"
"Jul 6, 2025","79,100.65","79,368.30","78,973.55","79,258.34","79,258.34","22,41,99,41,819"
"Jul 5, 2025","80,224.69","80,368.20","78,581.08","79,114.20","79,114.20","31,20,82,76,656"
"Jul 4, 2025","79,743.99","80,932.16","79,649.75","80,233.70","80,233.70","36,94,89,72,214"
"Jul 3, 2025","76,897.84","80,504.95","76,464.46","79,754.48","79,754.48","41,20,99,04,107"
"Jul 2, 2025","78,031.65","78,257.42","76,614.52","76,894.34","76,894.34","32,09,00,43,392"
"Jul 1, 2025","79,003.40","79,257.85","77,870.49","78,025.05","78,025.05","30,63,51,66,211"
"Jun 30, 2025","78,221.59","80,102.07","78,150.38","79,004.95","79,004.95","25,90,22,58,350"
"Jun 29, 2025","78,048.66","78,396.55","77,968.80","78,221.50","78,221.50","21,89,17,82,211"
"Jun 28, 2025","77,923.51","78,419.34","77,628.77","78,047.12","78,047.12","33,05,42,24,758"
"Jun 27, 2025","78,432.55","78,982.79","77,640.41","77,927.21","77,927.21","31,97,81,24,249"
"Jun 26, 2025","77,888.74","79,391.93","77,766.07","78,422.46","78,422.46","37,70,90,45,157"
"Jun 25, 2025","77,939.34","78,037.41","77,095.94","77,887.45","77,887.45","35,85,90,67,660"
"Jun 24, 2025","75,166.49","78,343.64","73,958.73","77,943.95","77,943.95","48,16,24,93,682"
"Jun 23, 2025","75,960.20","76,825.00","73,347.95","75,166.24","75,166.24","48,78,01,70,072"
"Jun 22, 2025","76,775.63","77,300.68","75,039.02","75,993.92","75,993.92","28,50,81,45,223"
"Jun 21, 2025","77,676.88","79,009.93","76,019.35","76,771.56","76,771.56","37,86,34,13,771"
"Jun 20, 2025","78,189.42","78,513.38","77,401.78","77,679.30","77,679.30","27,70,29,54,084"
"Jun 19, 2025","77,891.30","78,557.34","77,225.85","78,186.85","78,186.85","35,27,39,79,316"
"Jun 18, 2025","78,708.87","79,397.13","76,735.42","77,890.59","77,890.59","41,67,33,25,454"
"Jun 17, 2025","77,814.63","80,157.36","77,455.48","78,710.81","78,710.81","37,12,09,59,558"
"Jun 16, 2025","77,747.73","78,258.05","77,051.12","77,812.01","77,812.01","27,08,75,72,969"
"Jun 15, 2025","78,221.92","78,292.45","76,947.53","77,753.31","77,753.31","28,01,90,60,027"
"Jun 14, 2025","77,727.15","78,276.82","75,783.84","78,209.30","78,209.30","51,27,19,59,037"
"Jun 13, 2025","80,103.15","80,172.57","77,704.77","77,730.42","77,730.42","40,24,42,65,783"
"Jun 12, 2025","81,629.90","81,551.20","79,739.07","80,103.67","80,103.67","37,47,18,04,572"
"Jun 11, 2025","81,371.09","81,747.30","80,225.27","81,626.52","81,626.52","40,49,60,16,750"
"Jun 10, 2025","78,150.26","81,569.89","77,783.27","81,369.91","81,369.91","41,24,28,04,789"
"Jun 9, 2025","78,073.30","78,713.79","77,672.52","78,150.72","78,150.72","27,05,61,27,457"
"Jun 8, 2025","77,166.40","78,335.91","76,868.25","78,071.91","78,071.91","28,35,97,39,887"
"Jun 7, 2025","74,801.30","77,917.16","74,486.70","77,166.18","77,166.18","36,11,52,29,266"
"Jun 6, 2025","77,301.47","77,990.38","73,997.58","74,802.46","74,802.46","42,32,88,47,448"
"Jun 5, 2025","77,922.43","78,322.33","76,901.32","77,287.59","77,287.59","32,87,21,44,570"
"Jun 4, 2025","78,105.14","79,010.01","77,657.59","77,921.02","77,921.02","34,14,20,37,670"
"Jun 3, 2025","78,441.81","78,184.30","76,653.62","78,100.02","78,100.02","33,79,73,94,295"
